from,to,Red,type,Specie,weight
7,4,Biologico,Stranding monitoring ,Ea,6
3,5,Biologico,Behavioral studies ,Ea,9
3,5,Biologico,Ecological studies,Ea,9
3,5,Biologico,Morpho-physiological studies,Ea,9
3,5,Biologico,Stranding monitoring ,Ea,9
3,37,Biologico,Behavioral studies ,Ea,9
3,37,Biologico,Ecological studies,Ea,9
3,37,Biologico,Morpho-physiological studies,Ea,9
3,37,Biologico,Stranding monitoring ,Ea,9
3,38,Biologico,Behavioral studies ,Ea,9
3,38,Biologico,Ecological studies,Ea,9
3,38,Biologico,Morpho-physiological studies,Ea,9
3,38,Biologico,Stranding monitoring ,Ea,9
3,4,Biologico,Genetic studies ,Ea,9
3,4,Biologico,Behavioral studies ,Ea,9
3,4,Biologico,Ecological studies,Ea,9
3,4,Biologico,Morpho-physiological studies,Ea,9
3,4,Biologico,Stranding monitoring ,Ea,9
3,4,Biologico,Analysis and classification of threats (Red List- according to IUCN),Ea,9
5,3,Biologico,Behavioral studies ,Ea,9
5,3,Biologico,Ecological studies,Ea,9
5,3,Biologico,Morpho-physiological studies,Ea,9
5,3,Biologico,Stranding monitoring ,Ea,9
5,37,Biologico,Behavioral studies ,Ea,9
5,37,Biologico,Ecological studies,Ea,9
5,37,Biologico,Morpho-physiological studies,Ea,9
5,37,Biologico,Stranding monitoring ,Ea,9
5,38,Biologico,Behavioral studies ,Ea,9
5,38,Biologico,Ecological studies,Ea,9
5,38,Biologico,Morpho-physiological studies,Ea,9
5,38,Biologico,Stranding monitoring ,Ea,9
5,4,Biologico,Behavioral studies ,Ea,9
5,4,Biologico,Ecological studies,Ea,9
5,4,Biologico,Morpho-physiological studies,Ea,9
5,4,Biologico,Stranding monitoring ,Ea,9
5,4,Biologico,Analysis and classification of threats (Red List- according to IUCN),Ea,9
5,4,Biologico,Genetic studies ,Ea,9
22,23,Biologico,Stranding monitoring ,Ea,7
22,63,Biologico,Stranding monitoring ,Ea,7
23,63,Biologico,Stranding monitoring ,Ea,6
23,22,Biologico,Stranding monitoring ,Ea,6
18,66,Biologico,Stranding monitoring ,Ea,8
21,66,Biologico,Genetic studies ,Ea,7
21,66,Biologico,Behavioral studies ,Ea,7
21,66,Biologico,Stranding monitoring ,Ea,7
1,4,Gestao,Vehicle (land or water),Both,6
1,4,Gestao,Volunteer or temporary programs,Both,6
1,4,Gestao,Formal Training ,Both,4
1,4,Gestao,Public Use Programs,Both,5
1,4,Gestao,Participation in Management Councils,Both,3
1,2,Gestao,WhatsApp Group,Both,6
1,28,Gestao,WhatsApp Group,Both,6
1,29,Gestao,WhatsApp Group,Both,6
1,30,Gestao,WhatsApp Group,Both,6
1,31,Gestao,WhatsApp Group,Both,6
1,32,Gestao,WhatsApp Group,Both,6
1,33,Gestao,WhatsApp Group,Both,6
1,34,Gestao,WhatsApp Group,Both,6
1,35,Gestao,WhatsApp Group,Both,6
1,2,Gestao,Database Sharing (any type of data),Both,9
1,28,Gestao,Database Sharing (any type of data),Both,9
1,29,Gestao,Database Sharing (any type of data),Both,9
1,30,Gestao,Database Sharing (any type of data),Both,9
1,31,Gestao,Database Sharing (any type of data),Both,9
1,32,Gestao,Database Sharing (any type of data),Both,9
1,33,Gestao,Database Sharing (any type of data),Both,9
1,34,Gestao,Database Sharing (any type of data),Both,9
1,35,Gestao,Database Sharing (any type of data),Both,9
2,1,Gestao,Team,Both,7
2,1,Gestao,Equipments,Both,8
2,1,Gestao,WhatsApp Group,Both,6
2,1,Gestao,Other social medias groups,Both,6
2,1,Gestao,Formal Training ,Both,7
2,1,Gestao,Previous Professional Training (conducted before taking office),Both,7
2,1,Gestao,Environmental Education Programs,Both,3
2,1,Gestao,Research Program,Both,9
2,1,Gestao,Joint Species Protection Program,Both,9
2,1,Gestao,Collective External Funding Sources (international fund- NGO- ),Both,7
2,1,Gestao,Financial Resources per Specific Legislation (entrance fees- payment for environmental services- others),Both,7
2,1,Gestao,Participation in Forums or Working Groups,Both,8
2,1,Gestao,NGO Support for Management (same NGO),Both,9
2,1,Gestao,Database Sharing (any type of data),Both,9
2,28,Gestao,WhatsApp Group,Both,6
2,29,Gestao,WhatsApp Group,Both,6
2,30,Gestao,WhatsApp Group,Both,6
2,31,Gestao,WhatsApp Group,Both,6
2,32,Gestao,WhatsApp Group,Both,6
2,33,Gestao,WhatsApp Group,Both,6
2,34,Gestao,WhatsApp Group,Both,6
2,35,Gestao,WhatsApp Group,Both,6
2,28,Gestao,Other social medias groups,Both,6
2,29,Gestao,Other social medias groups,Both,6
2,30,Gestao,Other social medias groups,Both,6
2,31,Gestao,Other social medias groups,Both,6
2,32,Gestao,Other social medias groups,Both,6
2,33,Gestao,Other social medias groups,Both,6
2,34,Gestao,Other social medias groups,Both,6
2,35,Gestao,Other social medias groups,Both,6
2,28,Gestao,Research Program,Both,9
2,29,Gestao,Research Program,Both,9
2,30,Gestao,Research Program,Both,9
2,31,Gestao,Research Program,Both,9
2,32,Gestao,Research Program,Both,9
2,33,Gestao,Research Program,Both,9
2,34,Gestao,Research Program,Both,9
2,35,Gestao,Research Program,Both,9
2,28,Gestao,Collective External Funding Sources (international fund- NGO- ),Both,7
2,29,Gestao,Collective External Funding Sources (international fund- NGO- ),Both,7
2,30,Gestao,Collective External Funding Sources (international fund- NGO- ),Both,7
2,31,Gestao,Collective External Funding Sources (international fund- NGO- ),Both,7
2,32,Gestao,Collective External Funding Sources (international fund- NGO- ),Both,7
2,33,Gestao,Collective External Funding Sources (international fund- NGO- ),Both,7
2,34,Gestao,Collective External Funding Sources (international fund- NGO- ),Both,7
2,35,Gestao,Collective External Funding Sources (international fund- NGO- ),Both,7
2,28,Gestao,Financial Resources per Specific Legislation (entrance fees- payment for environmental services- others),Both,7
2,29,Gestao,Financial Resources per Specific Legislation (entrance fees- payment for environmental services- others),Both,7
2,30,Gestao,Financial Resources per Specific Legislation (entrance fees- payment for environmental services- others),Both,7
2,31,Gestao,Financial Resources per Specific Legislation (entrance fees- payment for environmental services- others),Both,7
2,32,Gestao,Financial Resources per Specific Legislation (entrance fees- payment for environmental services- others),Both,7
2,33,Gestao,Financial Resources per Specific Legislation (entrance fees- payment for environmental services- others),Both,7
2,34,Gestao,Financial Resources per Specific Legislation (entrance fees- payment for environmental services- others),Both,7
2,35,Gestao,Financial Resources per Specific Legislation (entrance fees- payment for environmental services- others),Both,7
2,28,Gestao,Participation in Forums or Working Groups,Both,8
2,29,Gestao,Participation in Forums or Working Groups,Both,8
2,30,Gestao,Participation in Forums or Working Groups,Both,8
2,31,Gestao,Participation in Forums or Working Groups,Both,8
2,32,Gestao,Participation in Forums or Working Groups,Both,8
2,33,Gestao,Participation in Forums or Working Groups,Both,8
2,34,Gestao,Participation in Forums or Working Groups,Both,8
2,35,Gestao,Participation in Forums or Working Groups,Both,8
2,28,Gestao,Database Sharing (any type of data),Both,9
2,29,Gestao,Database Sharing (any type of data),Both,9
2,30,Gestao,Database Sharing (any type of data),Both,9
2,31,Gestao,Database Sharing (any type of data),Both,9
2,32,Gestao,Database Sharing (any type of data),Both,9
2,33,Gestao,Database Sharing (any type of data),Both,9
2,34,Gestao,Database Sharing (any type of data),Both,9
2,35,Gestao,Database Sharing (any type of data),Both,9
2,31,Gestao,Environmental Education Programs,Both,3
2,36,Gestao,Public Use Programs,Both,3
3,5,Gestao,Vehicle (land or water),Both,9
3,38,Gestao,Vehicle (land or water),Both,9
3,37,Gestao,Vehicle (land or water),Both,9
3,4,Gestao,Vehicle (land or water),Both,8
3,5,Gestao,Volunteer or temporary programs,Both,9
3,38,Gestao,Volunteer or temporary programs,Both,9
3,37,Gestao,Volunteer or temporary programs,Both,9
3,4,Gestao,Volunteer or temporary programs,Both,9
3,5,Gestao,Equipments,Both,9
3,38,Gestao,Equipments,Both,9
3,37,Gestao,Equipments,Both,9
3,5,Gestao,WhatsApp Group,Both,3
3,38,Gestao,WhatsApp Group,Both,3
3,37,Gestao,WhatsApp Group,Both,3
3,5,Gestao,Environmental Education Programs,Both,9
3,38,Gestao,Environmental Education Programs,Both,9
3,37,Gestao,Environmental Education Programs,Both,9
3,4,Gestao,Environmental Education Programs,Both,9
3,5,Gestao,Research Program,Both,9
3,38,Gestao,Research Program,Both,9
3,37,Gestao,Research Program,Both,9
3,5,Gestao,Joint Species Protection Program,Both,9
3,38,Gestao,Joint Species Protection Program,Both,9
3,37,Gestao,Joint Species Protection Program,Both,9
3,4,Gestao,Joint Species Protection Program,Both,9
3,5,Gestao,Joint Publications (brochures- booklets- books- official reports- investigations- manuals- others),Both,3
3,38,Gestao,Joint Publications (brochures- booklets- books- official reports- investigations- manuals- others),Both,3
3,37,Gestao,Joint Publications (brochures- booklets- books- official reports- investigations- manuals- others),Both,3
3,4,Gestao,Joint Publications (brochures- booklets- books- official reports- investigations- manuals- others),Both,3
3,4,Gestao,Collective External Funding Sources (international fund- NGO- ),Both,3
3,5,Gestao,Joint Inspection Program,Both,9
3,38,Gestao,Joint Inspection Program,Both,9
3,37,Gestao,Joint Inspection Program,Both,9
3,5,Gestao,Database Sharing (any type of data),Both,9
3,38,Gestao,Database Sharing (any type of data),Both,9
3,37,Gestao,Database Sharing (any type of data),Both,9
5,3,Gestao,Vehicle (land or water),Both,9
5,38,Gestao,Vehicle (land or water),Both,9
5,37,Gestao,Vehicle (land or water),Both,9
5,4,Gestao,Vehicle (land or water),Both,8
5,3,Gestao,Volunteer or temporary programs,Both,9
5,38,Gestao,Volunteer or temporary programs,Both,9
5,37,Gestao,Volunteer or temporary programs,Both,9
5,4,Gestao,Volunteer or temporary programs,Both,9
5,3,Gestao,Equipments,Both,9
5,38,Gestao,Equipments,Both,9
5,37,Gestao,Equipments,Both,9
5,3,Gestao,WhatsApp Group,Both,3
5,38,Gestao,WhatsApp Group,Both,3
5,37,Gestao,WhatsApp Group,Both,3
5,3,Gestao,Environmental Education Programs,Both,9
5,38,Gestao,Environmental Education Programs,Both,9
5,37,Gestao,Environmental Education Programs,Both,9
5,4,Gestao,Environmental Education Programs,Both,9
5,3,Gestao,Research Program,Both,9
5,38,Gestao,Research Program,Both,9
5,37,Gestao,Research Program,Both,9
5,3,Gestao,Joint Species Protection Program,Both,9
5,38,Gestao,Joint Species Protection Program,Both,9
5,37,Gestao,Joint Species Protection Program,Both,9
5,4,Gestao,Joint Species Protection Program,Both,9
5,3,Gestao,Joint Publications (brochures- booklets- books- official reports- investigations- manuals- others),Both,3
5,38,Gestao,Joint Publications (brochures- booklets- books- official reports- investigations- manuals- others),Both,3
5,37,Gestao,Joint Publications (brochures- booklets- books- official reports- investigations- manuals- others),Both,3
5,4,Gestao,Joint Publications (brochures- booklets- books- official reports- investigations- manuals- others),Both,3
5,4,Gestao,Collective External Funding Sources (international fund- NGO- ),Both,3
5,3,Gestao,Joint Inspection Program,Both,9
5,38,Gestao,Joint Inspection Program,Both,9
5,37,Gestao,Joint Inspection Program,Both,9
5,3,Gestao,Database Sharing (any type of data),Both,9
5,38,Gestao,Database Sharing (any type of data),Both,9
5,37,Gestao,Database Sharing (any type of data),Both,9
4,7,Gestao,WhatsApp Group,Both,5
4,3,Gestao,WhatsApp Group,Both,5
4,37,Gestao,WhatsApp Group,Both,5
4,6,Gestao,WhatsApp Group,Both,5
4,38,Gestao,WhatsApp Group,Both,5
4,5,Gestao,WhatsApp Group,Both,5
4,39,Gestao,WhatsApp Group,Both,5
4,7,Gestao,Joint Publications (brochures- booklets- books- official reports- investigations- manuals- others),Both,7
4,7,Gestao,Collective External Funding Sources (international fund- NGO- ),Both,8
4,6,Gestao,Collective External Funding Sources (international fund- NGO- ),Both,8
4,40,Gestao,Participation in Management Councils,Both,5
4,7,Gestao,Participation in Management Councils,Both,5
4,7,Gestao,Participation in Forums or Working Groups,Both,6
4,6,Gestao,Participation in Forums or Working Groups,Both,6
4,37,Gestao,Participation in Forums or Working Groups,Both,6
4,7,Gestao,NGO Support for Management (same NGO),Both,5
4,6,Gestao,NGO Support for Management (same NGO),Both,5
6,4,Gestao,Research Program,Both,9
6,4,Gestao,Joint Species Protection Program,Both,9
6,41,Gestao,NGO Support for Management (same NGO),Both,4
6,42,Gestao,NGO Support for Management (same NGO),Both,4
6,43,Gestao,NGO Support for Management (same NGO),Both,4
6,44,Gestao,NGO Support for Management (same NGO),Both,4
6,45,Gestao,NGO Support for Management (same NGO),Both,9
7,46,Gestao,Vehicle (land or water),Both,5
7,6,Gestao,Vehicle (land or water),Both,5
7,4,Gestao,Equipments,Both,6
7,47,Gestao,Equipments,Both,4
7,6,Gestao,WhatsApp Group,Both,6
7,4,Gestao,WhatsApp Group,Both,6
7,48,Gestao,Public Use Programs,Both,5
7,40,Gestao,WhatsApp Group,Both,6
7,49,Gestao,WhatsApp Group,Both,6
7,50,Gestao,WhatsApp Group,Both,6
7,51,Gestao,WhatsApp Group,Both,6
7,52,Gestao,WhatsApp Group,Both,6
7,53,Gestao,WhatsApp Group,Both,6
7,54,Gestao,WhatsApp Group,Both,6
