ID,Category,Name,Country,State,Hierarchical,Presence_species,Latitude,Longitud,
1,Parque_Estadual,Serra_do_Tabuleiro_State_Park,Brazil,(SantaCatarina),State,No,-27.86111111,-48.77305556,
2,Parque_Estadual,Rio_Vermelho_State_Park,Brazil,(SantaCatarina),State,Of_Ea,-27.49190278,-48.39871944,
3,APA,Anhatomirim_Environmental_Protection_Area,Brazil,(SantaCatarina),National,Of_Ea,-27.42333333,-48.605,
4,APA,Baleia_Franca_Environmental_Protection_Area,Brazil,(SantaCatarina),National,Of_Ea,-28.29469722,-48.692475,
5,Estacao_Ecologica,Carijos_Ecological_Station,Brazil,(SantaCatarina),National,Of_Ea,-27.465,-48.51027778,
6,Parque_Nacional,Lagoa_do_Peixe_National_Park,Brazil,(RioGrandedoSul),National,Of_Ea,-31.35963889,-51.04011111,
7,Refugio_da_Vida_Silvestre,Ilha_dos_Lobos_Wildlife_Refuge,Brazil,(RioGrandedoSul),National,Of_Ea,-29.33333333,-49.7,
8,Refugio_da_Vida_Silvestre,Molhe_Leste_Wildlife_Refuge,Brazil,(RioGrandedoSul),Municipal,Of,-32.18777778,-52.08833333,
9,Paisage_protegido,Protected_Landscape_Laguna_de_Rocha,Uruguay,(Rocha/Maldonado),National,Of_Ea,-34.62305556,-54.28944444,
10,Parque_Nacional,Isla_de_Flores_National_Park,Uruguay,(Canelons),National,Of_Ea,-34.94722222,-55.93722222,
11,area_Protegida,Laguna_Garzon_Protected_Area,Uruguay,(Maldonado),National,Of_Ea,-34.76666667,-54.55,
12,area_Protegida,Cerro_Verde_and_Islas_de_la_Coronilla,Uruguay,(Rocha/Maldonado),National,Of_Ea,-33.93333333,-53.5,
13,Reserva_Natural,Punta_Buenos_Aires_Natural_Defense_Reserve,Argentina,(Chubut),State,Of_Ea,-42.23861111,-64.37888889,
14,Parque_Interjurisdictional_Marinho,Isla_Pinguino_Interjurisdictional_Marine_Park,Argentina,(SantaCruz),Interjurisdictional,Of_Ea,-47.9,-65.71666667,
15,Parque_Interjurisdictional_Marinho,Makenke_Interjurisdictional_Marine_Park,Argentina,(SantaCruz),Interjurisdictional,Of_Ea,-49.54833333,-67.625,
16,Parque_Nacional,Monte_Leon_National_Park,Argentina,(SantaCruz),National,Of_Ea,-50.23333333,-69,
17,Reserva_Natural_Silvestre,Isla_de_los_Estados_Natural_Wildlife_Reserve,Argentina,(TierradelFuego),National,Of_Ea,-54.77222222,-64.2975,
18,Parque_Interjurisdictional_Marinho,Costero_Patagonia_Austral_Interjurisdictional_Marine_Park,Argentina,(Chubut),Interjurisdictional,Of_Ea,-45.07224444,-66.09691667,
19,Reserva_Natural_Intangible,Bahia_Laura_Intangible_Natural_Reserve,Argentina,(SantaCruz),State,Of_Ea,-48.37666667,-66.42472222,
20,Reserva_Natural_Intangible,Cabo_Blanco_Intangible_Natural_Reserve,Argentina,(SantaCruz),State,Of_Ea,-47.18527778,-65.785,
21,Refugio_da_Vida_Silvestre,La_Esperanza_Wildlife_Refuge,Argentina,(Chubut),State,Of_Ea,-42.13905556,-64.96180556,
22,Reserva_Faunistica,Punta_Bermeja_Fauna_Reserve,Argentina,(RioNegro),State,Of_Ea,-41.15694444,-63.15583333,
23,Reserva,Caleta_de_Los_Loros_Reserve,Argentina,(RioNegro),State,Of_Ea,-41,-64.0000,
24,Reserva_Natural,Bahia_Samborombon_Natural_Reserve,Argentina,(BuenosAires),State,Of_Ea,-36.32777222,-57.20923889,
25,Reserva_Natural,Arroyo_Zabala_Natural_Reserve,Argentina,(BuenosAires),State,Of_Ea,-38.71666667,-59.24694444,
26,area_Marina_Protegida,Namuncura_–_Banco_Burdwood_Marine_Protected_Area,Argentina,(TierradelFuego),National,Of,-54.5,-60.5,
27,Parque_Nacional,Tierra_Del_Fuego_National_Park,Argentina,(TierradelFuego),National,Of,-54.66694444,-68.5,
28,Parque,Serra_Furada_Park,Brazil,(SantaCatarina),State,No,-28.15638889,-49.39222222,
29,Parque,Fritzplaumann_Park,Brazil,(SantaCatarina),State,No,-27.27166667,-52.07083333,
30,Parque,Araucarias_Park,Brazil,(SantaCatarina),National,No,-26.76472222,-51.9675,
31,Parque,Acarai_Park,Brazil,(SantaCatarina),State,,-26.26688778,-48.56170,
32,Parque,Rio_Canoas_Park,Brazil,(SantaCatarina),State,No,-27.33133196699259,-51.18216711837263
33,Reserva,Aguai_Reserve,Brazil,(SantaCatarina),State,No,-28.66638889,-49.71722222,
